σύντομα, σαλόνι, τυριού, πω, ανάμεσα, κι, μέγιστος, φιλάω, χρήσιμος, πρέπον, σκάλα, λέγοντας, κινητό, λέγομαι, μπροστινός, ωκεανία, γνώρισα, συνέβη, γρήγορα, συγγραφέας, πηγαίνοντας, υπογράφω, λανθασμένος, ή, γενικής, γαλάζια, υπερβολικά, ον, έφυγα, πανηγύρι, παίζω, αδύναμος, ξεχάσω, νότος, καπέλο, τελείως, βόρεια, σκο, χιλιόμετρο, νοέμβριος, νονά, άλλη, ερωτευμένος, ενός, ωρίων, δίνω, δωμάτιο, πια, αλυσίδα, ερπετό
tired, peach, hurt, Monday, wallet, probably, I trust, swimmingly, gym, key, refer, poplar, here you go, time, citizen, belong, we are, institution, thing, honest, purple, animal, throne, right, father, I am, five, live, interesting, bedroom, thats all, meat, hen, insect, nice, simpler, I say, drunk, final, quiet, bed sheet, give, godfather, same, joy, ready, recently, selfish, own, attic

πηγαίνει, σκουρόχρωμος, μικρότερος, διαβάζουμε, ποδήλατο, τέλειος, αγοριού, νομίζω, κάποιος, χείλος, στέγνωσα, καφετέρια, έχω, δίγλωσσος, αρνούμαι, δώδεκα, χειμώνας, ελέφαντα, γει, σκέτος, και, μι, σκούρος, αδελφός, στόλος, γιαγιά, άλλος, κάλεσα, προς, λιγότερο, σπαγγέτι, οποίοι, μισώ, ντομάτα, μαχαιροπίρουνα, θέλει, δουλειά, ζο, συνήθως, ομπρέλα, ζυγίζω, χθες, χτυπάω, απαραίτητος, ρύζι, προσπάθησα, θελήσω, έντεκα, κράνος, περιστρέφομαι

is going, dark, smaller, we read, bike, perfect, boyfriend, I think so, someone, lip, I dried, Cafe, I have, bilingual, refuse, twelve, winter, elephant, OTSINGINGING, plain, and, MI, dark, brother, fleet, grandmother, other, I called, to, less, spaghetti, of which, I hate, tomato, cutlery, wants, work, zo, usually, umbrella, weigh, yesterday, beat, necessary, rice, I tried, will, eleven, helmet, revolve

άνοιξη, ακούγομαι, τραπέζι, επισκέπτομαι, είναι, σχεδιάζομαι, πετάω, βάζο, χιλιετία, παραδοσιακός, βαλίτσα, πάπια, δωρεάν, αισθάνομαι, αναγνωρίζω, ζώντας, σαράντα, βρέχεται, αντί, σίγουρος, ασιατικός, αύριο, ευθεία, άφιξη, ολόκληρος, ωραιότατος, πουλάω, βελόνα, πειράζει, επιδόρπιο, όγκος, δάφνη, περιοχή, αν, πιάνω, τελείωσα, τρώγεται, ελέφαντες, της, αποδέχομαι, πλειοψηφία, τρέχοντας, παρέα, διαθέσιμος, ελικόπτερο, συντάκτης, ανατολικά, προσωπικά, επτά, ωστόσο

spring, heard, table, visit, is, Im planning, fly, vase, Millenium, traditional, suitcase, duck, free, feel, recognize, living, forty, is wet, instead, sure, Asian, tomorrow, straight, arrival, whole, most beautiful, sell out, needle, tease, dessert, volume, Laurel, area, if, grip, I am done, eaten, elephants, her, accept, majority, running, company, available, helicopter, author, east, personally, seven, however

τραπεζαρία, μπάνιο, μαζικής, συρτάκι, μαξιλάρι, ξόδεψα, κόψω, δικηγόρος, αρκετός, οδοντόβουρτσα, δημιουργικά, δευτερόλεπτο, εκτός, πιάτα, δερμάτινος, αντιπαθώ, είδα, πάω, ότι, ρωτάω, φω, ντροπή, παίζοντας, θυμώνω, ιούλιος, αγγλικά, γκρίζα, ανόητος, βιβλιοθήκη, μάρτιος, μήνας, οικοδόμος, χρησιμοποιείται, θεία, ελέφαντας, δέκα, περισσότερο, απλώς, βγήκα, ψηλότερος, μήλα, επέτρεψα, πιθανός, αέρας, θύμα, δώ, βέβαια, γρηγορότερος, φαγητό, αντικείμενο

dinning room, bathroom, mass, sorting, pillow, I spent, cut off, Lawyer, enough, toothbrush, creative, second, except, dishes, leather, detest, I saw, go, that, ask, fi, shame, playing, get angry, July, English, gray, fool, library, March, month, builder, is used, aunt, elephant, ten, more, simply, I went out, taller, apple, I have allowed, likely, air, victim, see, sure, faster, food, object

αποδοτικός, γραμμάριο, δύο, ενώ, μεγάλο, ανυπομονώ, τους, κορυφή, ποτέ, παρουσιάζω, καπέλα, έπιπλο, άριστος, προτιμότερος, κοιμάμαι, απέναντι, παππούδες, καρπούζι, τρία, εμπορικός, πόλη, οκτώ, παραλαμβάνω, κόβω, ελλάδα, ήλπισα, βρω, ανοίγω, μαζί, ακολουθώ, σχεδίασα, με, φεύγω, σε, μέχρι, μαύρος, όχημα, μαγειρική, γεια, ούτε, οποίον, κοντομάνικο, ακρόπολη, διπλανός, κάνοντας, μετανιώνω, γεύμα, αστυνομία, ρωσία, γεμίζω

efficient, gram, two, while, large, I look forward, their, peak, never, show, hats, furniture, optimal, preferable, sleep, across, grandparents, watermelon, three, commercial, city, eight, receive, cut, Hellas, hoped, find, open up, together, I follow, I designed, with, Im leaving, in, until, black, vehicle, cuisine, Hello, neither, which, short sleeve, acropolis, adjacent, doing, regret, meal, police, Russia, fill

πρέπει, καταλαβαίνω, πατάτα, σαν, χυμός, κοπέλα, έχετε, λιμάνι, κάλλιστος, λένε, ανώτατος, μελέτησα, συμβαίνει, ήθελα, φθηνότερος, φοράει, ρωτήσω, ημέρα, νιπτήρας, ιδιοκτησία, πιστόλι, μιλάτε, πάντα, δίπλα, δυνατά, χαμηλά, δεκαπέντε, ανησυχώ, γάλα, αυτόν, εδώ, επάγγελμα, τώρα, ποντίκι, σέβομαι, απρίλιος, τρέχει, περπατώ, μεσημέρι, τριακόσιοι, μισό, γόμα, πεζοδρόμιο, πληρώνομαι, αγόρι, περίπου, ταξίδι, λιοντάρι, έδωσα, συννεφιά

must, I understand, potato, like, juice, girl, you have got, port, best, they say, maximum, I studied, it happens, I wanted, cheaper, is wearing, ask, day, washbasin, property, pistol, you talk, always, beside, loudly, low, fifteen, I worry, milk, him, here, profession, now, biceps, respect, April, is running, walk, noon, three hundred, half, eraser, pavement, get paid, boy, about, journey, lion, I gave, cloud

πίθηκο, αριστερά, σοβαρός, συνάντησα, κεράσι, τουρίστας, φυσιολογικός, απόγευμα, ακολούθησα, βάρκα, ξύλινος, θείος, νερού, ξενοδοχείο, χρονών, οικείος, κρατάω, ακριβέστατος, δεκατρία, ζωντανός, δύση, γάμος, νοτιοδυτικά, τέσσερις, ηθοποιός, παραγγέλνω, χελώνες, πίνεις, κοιτάζοντας, κάνω, διόδια, εκεί, κορίτσι, χάνομαι, πρώτιστος, απαίσιος, γελάω, πράσινος, ογδόντα, αυστραλός, ως, μόνο, στ, καφέ, ταξιδεύω, αγαπάω, εβδομάδα, ζέστη, εξακόσιοι, δούλεψα

monkey, left, serious, I met, cherry, tourist, physiological, afternoon, I followed, boat, wooden, uncle, water, hotel, years, intimate, hold, precise, thirteen, live, West, Marriage, southwest, four, actor, I order, turtle, do you drink, looking at, I am doing, toll booth, there, girl, miss, foremost, awful, Im laughing, green, eighty, Australian, as, only, f, coffee, I travel, love, week, heat, six hundred, I worked

σημαία, εσύ, βιβλίου, ήρθα, απλούστατος, ήπια, κοστίζω, τούρκικος, μπαίνω, αντρών, νούμερο, παρουσίασα, πατάτες, στω, αιγυπτιακός, πρόκειται, συχνότερος, στο, τμήμα, κουζίνα, αμφέβαλα, χοντρός, έχεις, προσωπικός, αυλή, αμέσως, νησί, εξαιρετικός, κάνει, αρέσει, ψωμί

flag, you, book, I came, simple, mild, cost, Turkish, enter, men, number, I presented, potatoes, stove, Egyptian, it is about, more common, in the, Department, kitchen, doubt, coarse, you have, personal, courtyard, immediately, island, exceptional, do, like, bread


διαφημίζω, σωματείο, εφιάλτης, τρίχα, κρυώνω, ευχή, κοιμήσου, γίνει, πνεύμα, συναισθηματικός, θερμοκηπίου, εφαρμογή, χάρτινος, καταστροφή, πίνακας, πρόβατο, επινοώ, δραστήριος, ευχαριστημένος, σχολιάζω, υποσυνείδητο, τεχνική, πλανήτης, επιλογή, υγεία, τραυματίζω, ειδοποίηση, γάιδαρος, κλάσμα, επιταγή, προστασία, πινέλο, αγελάδα, θυμηθώ, πρωθυπουργός, βιολογικός, πίστευα, φυσικός, σκεφτώ, επιστήμονας, γράψει, πεπρωμένο, φωνή

advertise, association, nightmare, hair, I am cold, wish, sleep, becomes, spirit, emotional, greenhouse, application, paper, destruction, panel, sheep, coin, active, pleased, comment on, subconscious, technique, planet, selection, health, injure, notice, donkey, fraction, check, protection, paintbrush, cow, remember, Prime Minister, biological, I believed, natural, think, scientist, written, destiny, voice

φοιτητικός, πάσα, μάγος, δούλευα, ποίημα, αφήσει, μετάδοση, δαίμονας, κλιματικός, δημιουργώ, νάνος, ανοίξω, μυθολογία, πληκτρολογώ, κατηγορία, προκατάληψη, καθημερινός, φαινόμενο, υποκείμενο, γκολ, εντυπωσιακός, διαγωνισμός, γραπτός, σταθερός, ενόργανη, φύση, αίμα, έμενα, ενεργός, αλήθεια, κλείσω, κουνέλι, πελάτης, φύγω, ξεκουράσου, θεατρικός, υποσχεθεί, κοινοποίηση, μόριο, σκοράρω, κατώτατος, επικός, μπλοκ, ώμος, αρχαιολόγος

student, pass, magician, I have been working, poem, left, transmission, demon, climatic, create, dwarf, open, mythology, type, category, prejudice, daily, phenomenon, subject, goal, impressive, contest, written, steady, gymnastics, nature, blood, me, active, truth, close up, rabbit, customer, leave, get some rest, theatrical, promised, sharing, molecule, score, minimum, epic, block, raw, archaeologist

πουλήθηκα, αρχηγός, παράσταση, εύγε, καλλωπισμός, επιθετικός, λέξη, αθηνά, επιστρέψω, αστροναύτης, γίνω, τιμή, μεταφραστής, χρέωση, εξαρτημένος, ορθογώνιο, άλγεβρα, μιλούσα, κράτος, αρχές, γραμμένος, αναφορά, δέξου, ορχήστρα, αθλητικός, προφορικός, κάρτα, χημεία, πιάνο, στόχος, επιτυχία, δήμητρα, μαγείρευα, έδαφος, μεγάλη, μοχθηρός, γλύπτης, κλικάρω, κοινοβούλιο, φυσική, μικρόφωνο, πληρώσω, σκέψου

I was sold, chief, performance, Well done, embellishment, aggressive, word, Athena, return, astronaut, become, price, translator, charge, dependent, rectangle, algebra, I was talking, state, principles, written, report, receiver, orchestra, sporting, oral, card, chemistry, piano, target, success, Demeter, I was cooking, terrain, great, sinister, sculptor, click, parliament, natural, microphone, pay, think

δικαστήριο, στοιχειωμένος, άμυνα, πλυμένος, ανακύκλωση, ευρώ, πήγαινα, κορυφαίος, εκδήλωση, πειρατής, φανταστεί, συγχαρητήρια, έδινα, ολιγαρχία, εξάμηνο, διαιρώ, άγγιζα, πρόεδρος, συγκεντρώνομαι, λαχείο, αισθάνθηκα, πλύθηκα, γοργόνα, σκόνη, φύγει, έπινα, ασημένιος, ιός, στρατηγός, αφαίρεση, αρνηθώ, έξοδα, διαδικτυακός, καρχαρίας, βαφτίσια, ζωγραφική, αποσυνδέω, λουλούδι

court, haunted, defense, washed, recycling, euro, I was going, top, event, pirate, imagined, congratulations, I gave, oligarchy, semester, divide, touch, chairman, concentrate, lottery, I felt, I washed, Mermaid, powder, go, drain, silver, virus, general, subtraction, refuse, expenses, online, shark, Christening, painting, disconnect, flower

παρτιτούρα, αφαιρούμαι, προσφορά, κατασκευή, κλασικός, λύρα, χάθηκα, σύνορα, παίξει, λύκειο, δίκτυο, υπογραφή, φανταζόμουν, ωραιότατα, σύνδεση, σκέφτηκα, έβγαινα, είδηση,νόμισμα, ωκεανός, φέρω, νωρίτερα, διαμάντι, εργοδότης, στήθος, φτιάξει, χανόμουν, εξετάζω, επιβάλλω, παραμύθι, μαγειρέψω, πόνος, άγριος, αθλητισμός, κρυφτεί, διαβάσει, ζημιά, ονειρεύτηκα, μαθηματικός, μορφωμένος

score, deduct, special offer, construction, classic, Lyre, I got lost, border, played, High School, network, signature, I was imagining, most beautifully, connection, I thought, out, news currency, ocean, bring, earlier, diamond, employer, bosom, made, I was missing, to examine, impose, fairy tale, cook, pain, wild, sport, hidden, read, damage, I dreamed, mathematical, educated

γουρούνι, βασίλισσα, φάει, ανακάλυψη, ελέγχος, κατεβάζω, ιδανικός, κομμένος, αισιόδοξος, απαντήσει, δικαίωμα, πληθωρισμός, μαγεύω, εγγεγραμμένος, παρόν, διαιτητής, χημικός, μύθος, εργαστήριο, σκοπός, ξεκούραση, ντύθηκα, ανταγωνισμός, τάξη, ανάρτηση, μακρύτερα, πώληση, χρυσός, ωραιότερα, φανταστώ, ταλαντούχος, πληκτρολόγιο, ασφαλής, λύση, πληρωμές, βάτραχος, ηλιόλουστος, προπονώ, αναλογικός, παρακολουθώ, σαλιγκάρι, κατάρα, φιλοσοφία

pig, queen, eats, discovery, control, download, ideal, cut, optimistic, reply, right, inflation, witch, registered, present, referee, chemical, myth, laboratory, purpose, relaxation, I dressed, competition, class, suspension, longer, sale, gold, most beautiful, imagine, talented, keyboard, safe, solution, payments, frog, sunny, coach, proportional, Im watching, snail, curse, philosophy

παλαιολιθικός, νόμος, δείγμα, σπουδές, κύκλος, γεγονός, απαγορευμένος, τριαντάφυλλο, ημίθεος, χάσει, πρόταση, ελκυστικός, θόρυβος, επιχειρηματίας, προσπαθήσει, επικοινωνώ, επιφάνεια, πονηρός, συνδέω, ραμμένος, δάνειο, πίστη, συνείδηση, ύποπτος, γνώμη, γραμματόσημο, ευγένεια, αγώνας, επισκεφτώ, κατάλληλος, κρυμμένος, αφορώ, σηκώθηκα, σκεφτεί, λίμνη, καλύτερα, πεσμένος, ένιωθα, γυρίσει, αλλαγή, ξωτικό, άρης, χαλαρός, ρεκόρ

paleolithic, law, sample, studies, cycle, fact, prohibited, rose, demigod, missed, proposal, attractive, noise, businessman, try, communicate, surface, cunning, connect, sewn, loan, faith, consciousness, suspect, opinion, stamp, courtesy, race, to visit, suitable, hidden, concern, I got up, thought, Lake, better, fallen, I felt, turns, change, elf, Mars, loose, record

σοφία, πυραμίδα, μούσα, σχόλιο, προσπαθούσα, ιστός, ταχυδρόμος, εμπιστευτώ, κατάσταση, θύελλα, υγρό, αποτέλεσμα, συλλογισμός, τουριστικός, σχολή, ανάγκη, εισόδημα, γυαλί, κούρεμα, βία, άρθρο, μειώνω, καρδιά, συμβόλαιο, εγκαταλελειμμένος, ξεκουραστώ, μάρκα, απογοητευτεί, σύνολο, κανόνας, τραυματίζομαι, θρησκεία, τοις, κεντρικός, επίρρημα, σχήμα, τοπίο, αρχίσω, σχολείο, άρρωστος, τεχνολογία, χιούμορ

Sophia, pyramid, muse, comment, I was trying, Web, postman, trust, condition, storm, liquid, result, reasoning, touristy, leisure, need, income, glass, haircut, violence, article, decrease, heart, contract, abandoned, rest, brand, disappointed, total, rule, injured, religion, thus, central, adverb, shape, landscape, start, school, ill, technology, humour

δέρμα, νιώσει, αλιγάτορας, μεταπτυχιακό, ελευθερία, μαγικός, υγρασία, βαρετός, συλλογή, φιλόδοξος, γιορτή, διά, στείλω, πρωτάθλημα, περίεργος, καπνός, βάφτηκα, δει, βάθος, διαδικασία, διαδίκτυο, τερματοφύλακας, χειρουργείο, ηρακλής, αλουμίνιο, κοιμήθηκα, τόξο, φύλλο, εξέταση, θεωρία, ψυχή, εγγύηση, πρότυπο, κύβος, ποιότητα, προστίθεμαι, αυξάνω, πύραυλος, ερωτεύτηκα, οπαδός

skin, feel, alligator, postgraduate, freedom, magical, humidity, boring, collection, ambitious, feast, for, send, championship, curious, Smoke, I was dyed, see, depth, procedure, Internet, goalkeeper, surgery, Hercules, aluminum, I slept, bow, ply, examination, theory, soul, warranty, role model, cube, quality, add, increase, missile, I fell in love, fan

πολλαπλασιάζομαι, δέχτηκα, φυσάει, πυρετός, σκληρός, παίκτης, διανομή, διάλογος, αλληλογραφία, τυχερός, κοινός, έφευγα, δικαστικός, πιωμένος, ουρανός, κοινωνικά, πολεμιστής, καρπός, μέλος, μάντης, διάλεξη, ήχος, μάθημα, δύναμη, μιλήσω, ήρωας, φωτοστέφανο, λίστα, εξίσωση, φαγούρα, προσπάθεια, χαθεί, συμφέρον, κόλαση, έγινα, πληροφορία, δίκιο

multiply, I accepted, its windy, fever, tough, player, distribution, dialogue, correspondence, lucky, common, I was leaving, judicial, drunk, heaven, social, warrior, fruit, member, fortune teller, lecture, sound, lesson, power, speak, hero, halo, list, equation, itch, effort, Lost, advantage, hell, I became, information, right

αθλητής, φαγώθηκα, εφεύρεση, ταχυδρομικώς, παράδειγμα, δίας, ειπώθηκα, βράχος, φαντασία, αγαπήσει, μέθοδος, έκπληξη, μεσαίωνας, πιστωτική, παγωνιά, κοινωνία, έκπτωση, πληρωθώ, δεδομένος, φαντάσου, κοινωνικής, άρτεμις, γενέθλια, ανάλυση, μουσικός, απεργία, βρει, ειρήνη, ηρεμία, ηλεκτρισμός, ψηφιακός, ποτάμι, ιππότης, αυστηρός, βαρέθηκα, ποσειδώνας, ευχήθηκα, εισαγωγή, στίβος, δραστηριότητα, συμπέρασμα

sportsman, I was eaten, invention, by mail, example, Jupiter, I was said, rock, imagination, love, method, surprise, Middle Ages, credit, freezing cold, society, discount, get paid, given, imagine, social, Artemis, birthday, analysis, musician, strike, find, Irene, calm, electricity, digital, river, knight, strict, I got bored, Poseidon, I wished, Introduction, track, activity, conclusion

κεραμικά, κωμωδία, αποφοίτηση, φάντασμα, ρίχνω, σύντομος, ανακαλύπτω, βοηθούσα, σημασία, εκδίδω, ζήλια, μετάφραση, ιδανικά, ηχείο, φροντίδα, αστικός, άσκηση, εγκατάσταση, γεράκι, απόβλητα, κλήρωση, δημοτικό, γινόμουν, τραγουδιστής, γυμναστική, κίνημα, φιλίας, βιολογία, κόμμα, επίθετο, αργότερα, διαίρεση, γλυπτική, κείμενο, τεχνολογικός, αποταμίευση, τάφος, πολλαπλασιάζω, ζωγραφίζω, κόστος, εμπόριο, θεραπεία, ζήτημα, χαλκός, υπερβολικός, πλευρά

ceramics, comedy, graduation, ghost, drop, brief, discover, I was helping, meaning, issue, jealousy, translation, ideally, speaker, care, urban, excercise, installation, hawk, waste, draw, primary school, I was, singer, gymnastics, movement, friendship, biology, party, Adjective, later, division, sculpture, text, technological, savings, grave, multiply, paint, cost, trade, treatment, issue, copper, undue, side

συνηθισμένος, έδειχνα, συνθήκη, λυπήθηκα, νέα, έμμεσος, ευαίσθητος, άνετος, κολυμπούσα, εμπιστεύτηκα, μετάλλιο, γλάρος, αξία, ήφαιστος, τέρας, νοήμων, βρεθώ, πυροτέχνημα, τελειωμένος, αστέρι, νικήσει, επικοινωνία, βαθμός, κοιμόμουν, βιομηχανία, ζωγράφος, δούλος, συνέντευξη, φίλαθλος, τραγουδούσα, ήλπιζα, νόημα, ύδατα, βοήθεια, παροχή, φάνηκα, μεταφράζομαι, σεβασμός, είσοδος, καταριέμαι, δάσος, αρνήθηκα

ordinary, I was showing, condition, I was sorry, news, indirect, sensitive, comfortable, swimming, I trusted, medal, gull, value, Hephaestus, Beast, intelligent, find, fire, finished, star, won, Contact, degree, I was sleeping, industry, painter, slave, interview, sportsman, I was singing, I was hoping, meaning, waters, aid, provision, I looked like, translate, respect, entrance, curse, Forest, I refused

κυνηγός, κροκόδειλος, μεταμορφώνομαι, δημοσιογράφος, άριστα, πρόγνωση, περιγραφή, πλημμύρα, καταιγίδα, κοιτάχτηκα, οικονομικός, μυαλό, ασθενοφόρο, θάνατος, εργαστώ, θεός, εγχείρηση, χρειαζόμουν, ετοιμαστεί, γυμνάζομαι, πρόβα, πλαστικό, τραγωδία, πυγμαχία, όνειρο, εθνικός, ανεβάζω, καταναλωτής, ταχύτητα, έργο, αποσύνδεση, συμφωνικός, όριο, οικονομία, σκοτάδι, άγαλμα, δήμαρχος, νοσοκομείο, αιώνιος, κόκκαλο, φρούριο

hunter, crocodile, turn into, journalist, Excellent, forecast, description, flood, storm, I looked, economic, mind, ambulance, death, work, god, surgery, I needed, get ready, exercise, rehearsal, plastic, tragedy, boxing, dream, national, push up, consumer, speed, work, log out, symphonic, limit, economy, darkness, statue, mayor, hospital, eternal, bone, fortress

τεχνικός, επανάσταση, ασθενής, καλλιέργεια, εταιρεία, προμηθέας, σκηνοθέτης, αυτοκράτορας, διαφημίζομαι, σκέψη, γυμνάσιο, βρυκόλακας, δέντρο, εικόνα, βουνό, φωτογράφος, φλάουτο, αρετή, ρομαντικός, υπόθεση, αγαπημένος, ξόρκι, παρατήρηση, ερασιτέχνης, πέτρινος, προσθέτω, τετράγωνο, καταστρέφω, βρισκόμουν, ευθύνη, σύννεφο, διοίκηση, διαφήμιση, αναγνωρισμένος, ταινία, νεράιδα, φεγγάρι, ορκωμοσία, σουτάρω, πιθανότητα, χάλκινος

technical, revolution, patient, cultivation, company, Prometheus, director, Emperor, advertise, thought, high school, vampire, tree, image, Mountain, photographer, flute, virtue, romantic, case, loved, spell, observation, amateur, stony, add, square, to ruin, I was in, responsibility, cloud, administration, advertising, recognized, film, fairy, moon, swearing, shoot, chance, copper

συνομιλία, ταχυδρομείο, ορκιζόμουν, κυβέρνηση, καμβάς, λογαριασμός, εγκέφαλος, χειρουργός, άμεσος, αποδέχθηκα, συνέβαινε, αγκώνας, τελειώσει, αρνούμενος, δίκαιος, διερμηνέας, καύσωνας, ηφαίστειο, έγγραφο, γεννήθηκα, σήκω, θάλασσα, γεράσει, πάλη, επίρ, απόφαση, αυτοκρατορία, εκφωνητής, όπερα, ψήφος, ονειρευόμουν, υπάλληλος, μνήμη, ηλεκτρονικός, σύνταξη, σιδερένιος, σκοτώνομαι, πολλαπλασιασμός, μέταλλο, έννοια, χαμηλός, ρίζα, σελίδα, κύπελλο, συμφωνία, αφαιρώ

conversation, post office, I was sweating, government, canvas, account, brain, surgeon, direct, I accepted, was happening, elbow, finish, resuming, fair, interpreter, heat, volcano, document, I was born, get up, sea, grow old, fight, advent, decision, empire, broadcaster, Opera, vote, I dreamed, employee, memory, electronic, pension, iron, kill, proliferation, metal, sense, low, root, page, cup, agreement, remove

όραση, χρήμα, δοκιμασμένος, παρουσίαση, περιβάλλον, αγωνίζομαι, φιλοσοφικός, δρομέας, προστάτης, εργαζόμενος, καλαθοσφαίριση, εργάστηκα, σύμμαχος, μεταλλικός, βαμμένος, ακούστηκα, βράχηκα, δίκτυα, στρατός, κατσίκα, ιστοσελίδα, ύπαρξη, λογοτεχνία, θύρα, γρασίδι, σκεφτόμουν, διαιρούμαι, πικρός, τελείωνα, μοίρα, φυλλομετρητής, φοβήθηκα, αιτία, πληρωμένος, ποίηση, πόθος, χαμένος, χρήστης, κρυβόμουν, χορογραφία, επηρεάστηκα, ασθένεια, γρηγορότατα, φωτογραφία, φαγωμένος

vision, money, tested, presentation, environment, struggle, philosophical, runner, prostate, employee, basketball, worked, allied, metallic, dyed, I heard, jar, networks, army, goat, web page, existence, literature, door, grass, I was thinking, contain, Bitter, finish, fate, browser, I was scared, cause, paid, poetry, lust, lost, user, I was hiding, choreography, I was affected, disease, most quickly, Photo, abraded

αφήσω, μεταφράζω, προέλευση, κοντύτερα, ακούσει, γήπεδο, άδης, γνώση, εξουσία, κανάλι, βήμα, απίστευτος, χορός, φανταστικός, έψαχνα, φτιαχτεί, δικαιοσύνη, υποσχέθηκα, μπάλα, ύμνος, πλαστικός, όρεξη, στοιχείο, έσοδα, φέρει, τρόπος, όπλο, ενδιαφέρομαι, δυσαρέσκεια, γυάλινος, ανησυχήσει, τίτλος, μάγισσα, ξεχάσει, άλλαζα, βγω, γλώσσα, θρήσκος, υπήρχα, πρόσθεση, πέτρα, επιστολή, πρωτύτερα, ζούσα, κάθισα

leave, translate, origin, shorter, heard, court, Hades, knowledge, power, channel, step, incredible, dance, fantastic, I was looking for, made, justice, I promised, ball, anthem, plastic, appetite, element, income, bears, way, weapon, I am interested, dissatisfaction, glass, worried, title, witch, forgotten, I was changing, go out, language, religious, there was, addition, stone, letter, previously, I was living, I sat

εξωτικός, σκεπτόμενος, ερχόμουν, σεισμός, βραβείο, ησυχία, χιόνι, ευλογία, μόρφωση, καλώδιο, ψευδώνυμο, δάχτυλο, καλεσμένος, πρωταθλητής, έκθεση, τετραγωνική, συναρπαστικός, άνεμος, μεταμορφώνω, γυμνάζω, ίσον, φάλαινα, δώσει, επιχείρημα, ορισμός, περαστικά, κακοκαιρία, μαθαίνω, παρελθόν, σύνθημα, σαύρα, λάθος, κέρδος, μπράβο, ξύλο, βαριόμουν, σηκωθώ, αθλητικογράφος, 

exotic, thinking, I was coming, earthquake, prize, quiet, snow, blessing, education, cable, pen name, finger, guest, champion, exhibition, square, exciting, wind, transform, exercise, equals, whale, give, argument, definition, get well, bad weather, Im learning, past, slogan, lizard, error, profit, well done, wood, I was bored, get up, sportswriter, 

πολύγωνο, μαντική, ξεχνούσα, τυφώνας, πάει, προσπαθήσω, άγνοια, ετοιμαστώ, ποδόσφαιρο, ξεκουράστηκα, ξόδευα, άκουγα, προστατέψω, ενδιαφέρον, ζεστάθηκα, κλινική, μαθηματικά, μονόκερος, πολυτελής, λυκάνθρωπος, ιερός, υπολογίζω, συμπεριφορά, σηκωθεί, φράση, μπορούσα, κρύφτηκα, αλμυρός, πτυχίο, ψέμα, ποδοσφαιριστής, υποψήφιος, πρόβλημα, διαφωτισμός, έπαιρνα, διαγραφή, μετάβαση, αναγκασμένος, διάστημα, πουλούσα, πολύτιμος

polygon, divination, I forgot, Typhon, go, try, ignorance, get ready, football, rest, spent, I heard, protect, interesting, I warmed, clinic, mathematics, unicorn, luxurious, werewolf, sacred, calculate, behavior, get up, phrase, I could, I was hiding, salty, degree, lie, football player, candidate, problem, enlightenment, I was taking, deletion, transition, forced, space, selling, precious

κοιμηθώ, δίαιτα, προσεύχομαι, γη, τύχη, εξαφανισμένος, μήνυμα, πρόγονος, όργανο, απαγορεύτηκα, μάχη, σύστημα, υποκριτική, σύσκεψη, έξοδος, ταχυδρομικός, πλάτη, υγιεινός, νηπιαγωγείο, υπουργός, βιομηχανική, συζήτηση, ικανότητα, αποτελεσματικότητα, αποτυχία, σύμβολο, ακολουθήσω, ελέγχω, ασφάλεια, σταματήσει, ασπίδα, αίτημα, θερμαινόμενος, σώμα, διαφωνώ, διαδήλωση, αρχαιότητα, πραγματικότητα, όφελος, μιλήσει, οδοντίατρος

sleep, diet, I pray, Earth, luck, extinct, message, progenitor, organ, was forbidden, battle, system, acting, meeting, exit, postal, back, healthy, kindergarten, Minister, industrial, discussion, ability, effectiveness, failure, symbol, follow, I check, security, stop, shield, request, heated, body, Disagree, demonstration, ancient times, reality, avail, talk, dentist

ήττα, εξυπηρετικός, λύνω, ένωση, τσιμέντο, κρύσταλλος, κρίσιμος, δράκος, προσευχή, προφίλ, κουμπί, σκοτώνω, χρειαστώ, θέα, μαγειρέψει, αφροδίτη, κοινοποιώ, έρευνα, φιλόσοφος, αντίπαλος, μαλακός, σύμπαν, τρίγωνο, μέλλον, πυρηνικός, ευκαιρία, άδικος, διασκεδαστικός, κλωτσώ, επίπτωση, βίαιος, μαραθώνιος, εκλογές, ντροπαλός, σταυρός, φωτιά, καινούριος, τηλεφωνώ, έτρωγα, τρομακτικός, γονιμότητα, επιστήμη, ξεκινήσω, ατυχία

defeat, helpful, solve, join, cement, crystal, critical, dragon, prayer, Profile, button, kill, I need, view, cooked, Aphrodite, notify, research, philosopher, opponent, malleable, universe, triangle, future, nuclear, opportunity, unfair, entertaining, kick, effect, violent, marathon, elections, shy, Stavros, fire, new, phone, ate, scary, fertility, science, start, misfortune

